Annual Salary,Job Titles,Department
122568.0,0,0
110796.0,1,0
122112.0,2,1
86730.0,3,0
118830.0,4,2
109236.0,3,0
90990.0,3,0
84612.0,5,2
95586.0,3,0
102372.0,3,0
117384.0,6,2
90990.0,3,0
118836.0,0,0
104814.0,7,2
123696.0,8,1
110196.0,9,2
78228.0,10,3
80652.0,11,0
106170.0,3,0
101052.0,12,2
86730.0,3,0
86730.0,3,0
87348.0,7,2
82458.0,3,0
54672.0,3,0
95586.0,3,0
111048.0,13,4
92844.0,14,5
95586.0,3,0
95586.0,3,0
83808.0,15,6
95586.0,3,0
71436.0,16,7
98940.0,3,0
80448.0,17,2
102372.0,3,0
90990.0,3,0
102372.0,3,0
118188.0,1,0
104814.0,7,2
102372.0,9,2
96336.0,18,8
90288.0,19,9
111816.0,20,0
102372.0,3,0
71448.0,21,7
95586.0,3,0
95586.0,3,0
118188.0,1,0
54672.0,3,0
102372.0,9,2
90990.0,3,0
98904.0,9,2
95586.0,3,0
89388.0,22,10
95586.0,3,0
93660.0,23,3
161082.0,24,2
106704.0,25,11
94152.0,9,2
98940.0,3,0
111816.0,26,9
100896.0,27,12
122112.0,2,5
93660.0,28,13
114822.0,1,0
106170.0,3,0
122568.0,0,0
42144.0,29,9
77112.0,30,9
53952.0,31,13
135684.0,32,11
98940.0,3,0
91944.0,33,13
102372.0,3,0
21600.0,34,14
66984.0,35,0
111816.0,36,15
122112.0,37,13
123696.0,8,5
58044.0,38,16
89388.0,28,13
94428.0,39,13
94368.0,40,6
129063.96,41,6
72624.0,42,9
118836.0,0,0
89388.0,43,12
109236.0,3,0
118830.0,4,2
135684.0,44,7
96246.0,12,2
139620.0,45,1
44808.0,46,7
102372.0,3,0
122274.0,47,2
107490.0,48,0
82458.0,3,0
74220.0,49,5
130596.0,0,0
102372.0,3,0
95586.0,3,0
95586.0,3,0
98904.0,9,2
105936.0,9,2
53088.0,50,15
52512.0,51,14
78252.0,11,0
62466.0,5,2
101052.0,12,2
86730.0,3,0
126504.0,0,0
90990.0,3,0
102372.0,3,0
78384.0,52,17
54672.0,3,0
95586.0,3,0
117624.0,53,5
126504.0,0,0
95586.0,3,0
86730.0,3,0
