Hourly Rate,Job Titles,Department,Typical Hours
45.9,0,0,40.0
51.0,1,1,40.0
3.0,2,2,20.0
39.25,3,3,10.0
39.25,3,3,40.0
45.9,4,4,40.0
36.5,5,5,40.0
35.29,6,0,40.0
40.18,7,3,40.0
39.25,3,1,40.0
45.9,4,0,40.0
15.0,8,6,20.0
24.39,9,4,40.0
39.25,10,3,40.0
24.46,11,3,40.0
31.4,3,1,40.0
16.0,12,1,20.0
45.9,0,0,40.0
39.25,3,3,40.0
3.0,13,2,20.0
51.0,14,4,40.0
45.9,15,7,40.0
49.3,16,0,40.0
39.25,10,1,40.0
42.53,7,3,40.0
40.18,7,3,40.0
45.9,15,7,40.0
39.25,10,1,40.0
39.25,10,1,40.0
39.25,3,3,40.0
39.25,10,3,40.0
40.18,7,3,40.0
39.25,10,7,40.0
40.18,7,3,40.0
39.25,10,1,40.0
40.27,4,1,40.0
17.3,17,1,40.0
39.25,10,1,40.0
39.25,10,3,40.0
39.25,3,3,40.0
35.33,3,1,40.0
54.04,18,4,40.0
42.53,7,3,40.0
3.0,13,2,20.0
35.33,3,1,40.0
50.68,19,4,40.0
41.41,20,7,40.0
53.6,21,0,40.0
18.79,22,6,20.0
45.9,15,7,40.0
39.25,10,1,40.0
24.0,23,8,20.0
36.72,24,7,40.0
53.42,25,7,40.0
25.38,26,9,20.0
22.04,27,10,20.0
3.0,2,2,20.0
27.86,28,6,20.0
45.9,15,7,40.0
39.25,10,3,40.0
45.9,0,0,40.0
3.0,2,2,20.0
54.51,29,0,40.0
52.8,30,7,40.0
51.34,31,1,40.0
50.68,19,4,40.0
39.25,10,7,40.0
39.25,10,0,40.0
39.25,3,3,10.0
15.0,8,6,20.0
45.9,15,7,40.0
39.25,3,1,40.0
45.9,15,7,40.0
45.9,15,7,40.0
22.04,27,10,20.0
39.25,10,7,40.0
45.9,15,7,40.0
22.04,27,10,20.0
40.18,7,3,40.0
45.9,15,7,40.0
39.84,32,4,40.0
45.9,33,0,40.0
39.25,3,1,40.0
53.6,21,0,40.0
55.95,34,7,40.0
56.55,35,0,40.0
49.3,16,4,40.0
3.0,2,2,20.0
39.94,36,3,40.0
21.73,11,3,40.0
3.0,2,2,20.0
45.9,15,7,40.0
19.2,17,1,40.0
22.38,11,3,40.0
45.9,15,7,40.0
21.73,11,3,40.0
39.25,10,1,40.0
39.25,10,3,40.0
39.25,3,1,40.0
45.9,0,0,40.0
49.5,37,0,40.0
39.25,3,1,40.0
45.9,4,0,40.0
40.18,7,3,40.0
40.18,7,3,40.0
45.9,15,7,40.0
39.25,3,1,40.0
27.86,28,6,20.0
39.25,10,1,40.0
16.8,17,1,40.0
3.0,2,2,20.0
41.41,20,3,40.0
40.18,7,3,40.0
31.4,3,1,10.0
22.04,27,10,20.0
15.0,8,6,20.0
59.44,38,7,40.0
50.68,39,7,40.0
52.8,30,4,40.0
40.18,7,3,40.0
39.25,3,3,40.0
39.84,10,3,40.0
39.25,3,1,40.0
45.9,40,7,40.0
51.34,31,7,40.0
35.33,3,3,40.0
51.34,31,1,40.0
39.25,3,1,40.0
39.84,10,3,40.0
39.25,10,4,40.0
50.68,19,4,40.0
51.34,31,7,40.0
45.9,15,7,40.0
52.0,41,7,40.0
39.84,10,3,40.0
45.9,42,0,40.0
26.69,43,4,40.0
39.25,10,3,40.0
47.5,44,4,40.0
39.94,36,4,40.0
35.33,3,1,40.0
45.9,15,7,40.0
15.0,23,8,20.0
40.18,7,3,40.0
39.94,36,4,40.0
45.9,15,7,40.0
45.9,15,7,40.0
39.25,3,1,40.0
51.34,31,1,40.0
31.4,3,1,10.0
39.25,3,3,40.0
45.9,4,0,40.0
52.8,30,4,40.0
39.25,3,1,40.0
47.5,45,0,40.0
3.0,2,2,20.0
45.9,15,7,40.0
22.04,27,10,20.0
40.18,7,3,40.0
53.6,21,7,40.0
19.2,17,1,40.0
54.04,18,1,40.0
40.18,7,3,40.0
45.9,15,7,40.0
47.5,45,0,40.0
54.04,18,7,40.0
39.25,3,3,40.0
29.2,46,4,40.0
22.04,27,10,20.0
15.0,23,8,20.0
51.0,1,1,40.0
40.18,7,3,40.0
39.25,10,7,40.0
41.27,47,1,40.0
39.25,3,3,40.0
40.18,7,3,40.0
40.18,7,3,40.0
26.73,11,3,40.0
40.18,7,3,40.0
39.25,10,1,40.0
53.6,21,7,40.0
20.0,23,8,20.0
39.25,10,3,40.0
18.79,22,6,20.0
45.9,15,7,40.0
39.25,10,4,40.0
18.79,22,6,20.0
42.53,7,3,40.0
39.25,3,3,10.0
18.79,22,6,20.0
35.33,3,1,40.0
39.25,3,3,40.0
39.25,3,3,10.0
36.1,48,0,40.0
40.18,7,3,40.0
39.25,3,3,40.0
39.25,3,0,40.0
40.18,7,3,40.0
15.0,8,6,20.0
40.18,7,3,40.0
39.25,10,4,40.0
15.0,8,6,20.0
